feature;coefficient
intercept;0.4593127949690978
loan_amnt_0;0.15543536315041742
loan_amnt_1;0.10777417380213689
loan_amnt_2;0.058166496655544145
loan_amnt_3;0.015087060433633743
loan_amnt_4;0.06948064943748633
loan_amnt_5;0.047722931570107124
loan_amnt_6;0.020460976187773525
loan_amnt_7;-0.027851790063785273
loan_amnt_8;0.009598814061800822
loan_amnt_9;-0.013742631850077059
term_36;0.49986791968391625
term_60;-0.05773587629888659
int_rate_0;0.5323831606605839
int_rate_1;0.18482568199392324
int_rate_2;0.07005094460739775
int_rate_3;-0.15158885900483032
int_rate_4;0.05472531119952727
int_rate_5;0.021293589630443907
int_rate_6;-0.049105614642119155
int_rate_7;-0.024893663351491475
int_rate_8;-0.0658998720179927
int_rate_9;-0.129658635690448
income_to_installment_0;-0.10852068714791942
income_to_installment_1;-0.06016979374970886
income_to_installment_2;-0.0311781044332742
income_to_installment_3;-7.842824042251817e-05
income_to_installment_4;0.029212651790519538
income_to_installment_5;0.044430876806659525
income_to_installment_6;0.07690700307651782
income_to_installment_7;0.10607623675518248
income_to_installment_8;0.11906754814175147
income_to_installment_9;0.2663847403857025
grade_A;0.805446891319751
grade_B;0.5820454070535288
grade_C;0.1469204121425061
grade_D;-0.06752123680329451
grade_E;-0.21668772205399844
grade_F;-0.34483065942567764
grade_G;-0.46324104884782424
emp_length_-1;-0.3574706461002719
emp_length_0;0.035216581967464855
emp_length_1;0.042221297509644734
emp_length_2;0.08149444404494735
emp_length_3;0.05801308604995599
emp_length_4;0.08438838425278154
emp_length_5;0.08331569981721172
emp_length_6;0.09943794691587744
emp_length_7;0.09944022087795884
emp_length_8;0.0539726215028023
emp_length_9;0.05963435112094246
emp_length_10;0.10246805542570855
home_ownership_MORTGAGE;0.31692921699079424
home_ownership_OWN;0.15470813871889666
home_ownership_RENT;-0.029505312324676947
annual_inc_0;-0.029690529784046737
annual_inc_1;-0.027687583213181117
annual_inc_2;0.008126188261065754
annual_inc_3;0.03384066431157676
annual_inc_4;0.016321362534292356
annual_inc_5;0.06970371471105255
annual_inc_6;0.052001756351188505
annual_inc_7;0.09084960007233873
annual_inc_8;0.1446347815881469
annual_inc_9;0.08403208855259593
purpose_car;0.17764213385328978
purpose_credit_card;0.15674936320734104
purpose_debt_consolidation;0.10422839741614957
purpose_educational;-0.07817394245767613
purpose_home_improvement;-0.00014575539416858288
purpose_house;0.09997022620914053
purpose_major_purchase;-0.028490211954215226
purpose_medical;-0.1179018501412806
purpose_moving;-0.06224810456663727
purpose_other;0.023547264778049738
purpose_renewable_energy;-0.0596848401746069
purpose_small_business;-0.3418836811982598
purpose_vacation;-0.046648270992232205
purpose_wedding;0.615171314800094
addr_state_AK;0.02674846477809618
addr_state_AL;-0.2135547880667739
addr_state_AR;-0.2808429444949239
addr_state_AZ;-0.03403503709805982
addr_state_CA;-0.027883533456696544
addr_state_CO;0.26299287191877474
addr_state_CT;0.06552022560665187
addr_state_DC;0.3649956922362761
addr_state_DE;-0.042842489724508215
addr_state_FL;-0.11345368184313545
addr_state_GA;0.046606170475781916
addr_state_HI;0.0795020637342121
addr_state_IA;-0.005957807273876923
addr_state_ID;0.16477651046117375
addr_state_IL;0.030240547066633747
addr_state_IN;-0.11177868323603246
addr_state_KS;0.16156603598042574
addr_state_KY;-0.10395316300989192
addr_state_LA;-0.2635433285535491
addr_state_MA;-0.03683068663159535
addr_state_MD;-0.1548065776442152
addr_state_ME;0.5179454464749553
addr_state_MI;-0.0766884079203686
addr_state_MN;-0.0622078580995745
addr_state_MO;-0.13670043237583132
addr_state_MS;-0.3685396235172898
addr_state_MT;0.17498374659821417
addr_state_NC;-0.08912427675210463
addr_state_ND;0.02463512976646244
addr_state_NE;-0.310115238697866
addr_state_NH;0.28797449533195607
addr_state_NJ;-0.159123325684171
addr_state_NM;-0.14577082771020905
addr_state_NV;-0.14936129371112336
addr_state_NY;-0.16090411732449494
addr_state_OH;-0.07109843055132924
addr_state_OK;-0.2568505126639545
addr_state_OR;0.37157935018414223
addr_state_PA;-0.08896813439399551
addr_state_RI;0.0797382333029607
addr_state_SC;0.22271670960305318
addr_state_SD;-0.10099486324254014
addr_state_TN;-0.0946695679138006
addr_state_TX;-0.08159522110274565
addr_state_UT;0.17290618280846848
addr_state_VA;-0.052766912347503664
addr_state_VT;0.3575874834893325
addr_state_WA;0.2736812482104545
addr_state_WI;0.03812821195997532
addr_state_WV;0.2946775575837231
addr_state_WY;0.21759143085547625
dti_0.0;0.16380529799883842
dti_1.0;0.15828088776029506
dti_2.0;0.11323031956663943
dti_3.0;0.06422726583075256
dti_4.0;0.015371041779534874
dti_5.0;-0.025436838301928846
dti_6.0;-0.06654692212230638
dti_7.0;-0.14928737461758435
dti_8.0;-0.2363719187628795
dti_9.0;-0.28004124038572636
dti_nan;0.684901524639372
fico_range_low_0;-0.1828853393118552
fico_range_low_1;-0.10634807796520876
fico_range_low_2;-0.077440247129599
fico_range_low_3;-0.07409224440138433
fico_range_low_4;0.0009682251965871085
fico_range_low_5;0.03905934226031502
fico_range_low_6;0.084377669820586
fico_range_low_7;0.17428728460919712
fico_range_low_8;0.21881052245306462
fico_range_low_9;0.3653949078533129
